,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Legs<4.5,Wings_Does not have ∧ Spine_Has ∧ Breathes using lungs_Yes,Teeth_Has ∧ Breathes using lungs_Yes,Oviparous_No,Hair/fur_Has,Flies_Does not ∧ Breathes using lungs_Yes,Wings_Does not have ∧ Fins_Does not have ∧ Legs<4.5,Wings_Does not have ∧ Spine_Has ∧ Fins_Does not have,Teeth_Has ∧ Fins_Does not have,Aquatic_No ∧ Breathes using lungs_Yes ∧ Legs<4.5,Aquatic_No ∧ Spine_Has,Wings_Does not have ∧ Aquatic_No ∧ Legs<4.5,Flies_Does not ∧ Fins_Does not have ∧ Legs<4.5,Flies_Does not ∧ Spine_Has ∧ Fins_Does not have,Aquatic_No ∧ Teeth_Has,Flies_Does not ∧ Aquatic_No,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Tail_Has,Wings_Does not have ∧ Fins_Does not have ∧ Tail_Has,Wings_Does not have ∧ Aquatic_No ∧ Tail_Has,Legs>=3.0 ∧ Legs<4.5,Spine_Has ∧ Legs>=3.0,Sized about the same as a cat?_Yes,Flies_Does not ∧ Fins_Does not have ∧ Tail_Has,Aquatic_No ∧ Legs>=3.0,Teeth_Has ∧ Legs>=3.0,Legs>=3.0 ∧ Tail_Has,Wings_Does not have ∧ Eats meat_Yes ∧ Breathes using lungs_Yes,Wings_Does not have ∧ Eats meat_No ∧ Legs<4.5,Wings_Does not have ∧ Eats meat_No ∧ Spine_Has,Eats meat_No ∧ Teeth_Has,Wings_Does not have ∧ Aquatic_No ∧ Eats meat_Yes,Flies_Does not ∧ Eats meat_No ∧ Fins_Does not have,Wings_Does not have ∧ Eats meat_No ∧ Tail_Has,Aquatic_No ∧ Eats meat_Yes ∧ Legs<4.5,Eats meat_Yes ∧ Breathes using lungs_Yes ∧ Legs>=3.0,Flies_Does not ∧ Eats meat_No ∧ Legs>=3.0,Sized about the same as a cat?_No,Wings_Does not have ∧ Breathes using lungs_Yes ∧ Legs<3.0,Aquatic_No ∧ Bred by humans_Has,Breathes using lungs_Yes ∧ Bred by humans_Has,Fins_Does not have ∧ Bred by humans_Has,Wings_Does not have ∧ Bred by humans_Has,Spine_Has ∧ Bred by humans_Has,Legs<4.5 ∧ Bred by humans_Has,Teeth_Has ∧ Bred by humans_Has,Flies_Does not ∧ Bred by humans_Has,Legs>=3.0 ∧ Bred by humans_Has,Legs<3.0 ∧ Tail_Has,Teeth_Has ∧ Tail_Does not have,Spine_Has ∧ Tail_Does not have,Fins_Does not have ∧ Legs<3.0 ∧ Bred by humans_Does not have,Fins_Does not have ∧ Tail_Does not have,Aquatic_Yes,Tail_Does not have ∧ Bred by humans_Does not have,Eats meat_Yes ∧ Legs<3.0,Legs>=3.0 ∧ Tail_Does not have,Breathes using lungs_Yes ∧ Legs<3.0 ∧ Tail_Does not have,Fins_Has,Breathes using lungs_Yes ∧ Fins_Has,Flies_Does,Eats meat_No ∧ Tail_Does not have,Eats meat_Yes ∧ Bred by humans_Has,Wings_Does not have ∧ Flies_Does ∧ Legs<3.0,Wings_Does not have ∧ Flies_Does ∧ Spine_Has,Flies_Does ∧ Teeth_Has,Wings_Does not have ∧ Flies_Does ∧ Legs<4.5,Wings_Does not have ∧ Flies_Does ∧ Tail_Has,Hair/fur_Does not have,Oviparous_Yes,Teeth_Does not have,Legs<3.0 ∧ Tail_Does not have ∧ Bred by humans_Has,Fins_Has ∧ Tail_Does not have,Spine_Does not have,Breathes using lungs_No,Legs>=4.5,Wings_Has,Eats meat_No ∧ Legs<3.0 ∧ Bred by humans_Has,Label
Fur seal,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sea lion,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sea snake,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Jellyfish,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0
Sea gill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Skua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Slowworm,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Slug,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Sparrow,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Squirrel,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Starfish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0
Stingray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Swan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
Termites,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0
Toad,1,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Turtle,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Tuatara,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Tuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Bat,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Vole,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wallaby,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hornet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
Wolf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
